oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641216100035134,zr,59683.42866,14.113205,0.012728025,0.09227219,21.151,0.081
641116100063310,zg,59685.4063,14.989451,0.013681605,-0.0282626,21.915,0.177
641216100035134,zr,59689.44887,14.152641,0.012740181,0.096759625,21.151,0.081
641116100063310,zg,59689.46713,14.989405,0.013681546,-0.049031347,21.915,0.177
641116100063310,zg,59694.44536,14.973831,0.013661577,-0.04512514,21.915,0.177
641216100035134,zr,59694.47598,14.240544,0.012769792,0.095325865,21.151,0.081
641116100063310,zg,59697.46662,14.9923525,0.013685346,-0.06560047,21.915,0.177
641216100035134,zr,59700.43103,14.266424,0.012779201,0.09067653,21.151,0.081
641116100063310,zg,59700.46521,14.996262,0.013690394,-0.066165686,21.915,0.177
641116100063310,zg,59702.47024,14.9826145,0.013672817,-0.063300006,21.915,0.177
641216100035134,zr,59708.36598,14.333054,0.01280496,0.102326185,21.151,0.081
641216100035134,zr,59708.46474,14.345869,0.012810175,0.08872825,21.151,0.081
641116100063310,zg,59711.42929,14.982853,0.013673124,-0.057511996,21.915,0.177
641216100035134,zr,59711.46563,14.383767,0.012826111,0.09258084,21.151,0.081
641216100035134,zr,59714.43208,14.362934,0.012817256,0.0920954,21.151,0.081
641116100063310,zg,59714.46186,15.0009575,0.013696474,-0.0907904,21.915,0.177
641216100035134,zr,59718.40586,14.431256,0.01284719,0.08218463,21.151,0.081
641216100035134,zr,59718.44404,14.416562,0.012840534,0.08320806,21.151,0.081
641216100035134,zr,59721.41277,14.429466,0.012846374,0.08782109,21.151,0.081
641216100035134,zr,59721.45233,14.459617,0.01286039,0.08415358,21.151,0.081
641116100063310,zg,59723.43465,14.995133,0.013688936,-0.08966609,21.915,0.177
641216100035134,zr,59723.45103,14.463614,0.012862288,0.08404678,21.151,0.081
641216100035134,zr,59725.42748,14.486219,0.0128732,0.089580886,21.151,0.081
641116100063310,zg,59725.44866,14.975018,0.013663094,-0.07913204,21.915,0.177
641216100035134,zr,59727.4034,14.47532,0.012867901,0.09038493,21.151,0.081
641116100063310,zg,59727.45129,14.996255,0.013690386,-0.07015605,21.915,0.177
641216100035134,zr,59731.43027,14.52784,0.012894097,0.0895687,21.151,0.081
641116100063310,zg,59733.44588,15.014008,0.013713462,-0.07090096,21.915,0.177
641216100035134,zr,59735.40822,14.615028,0.012941427,0.083018705,21.151,0.081
641116100063310,zg,59735.44845,15.004189,0.013700669,-0.06895278,21.915,0.177
641116100063310,zg,59737.41302,15.013992,0.013713442,-0.061655644,21.915,0.177
641216100035134,zr,59737.4489,14.628888,0.012949414,0.08650931,21.151,0.081
641116100063310,zg,59739.41142,15.0439415,0.013752921,-0.095661774,21.915,0.177
641216100035134,zr,59739.43634,14.6303835,0.012950283,0.08785285,21.151,0.081
641216100035134,zr,59741.38405,14.632297,0.012951397,0.08177347,21.151,0.081
641116100063310,zg,59741.46035,15.049221,0.013759953,-0.07383315,21.915,0.177
641216100035134,zr,59744.38372,14.660967,0.012968405,0.08079088,21.151,0.081
641216100035134,zr,59748.36508,14.697872,0.012991154,0.08719107,21.151,0.081
641116100063310,zg,59748.39286,15.051916,0.0137635525,-0.043694604,21.915,0.177
641316100106186,zi,59748.45798,15.26718,0.012474196,0.18193841,21.219,0.135
641116100063310,zg,59750.32954,15.0263815,0.013729689,-0.06563649,21.915,0.177
641216100035134,zr,59750.36559,14.714962,0.013002021,0.091056384,21.151,0.081
641116100063310,zg,59752.43916,15.058325,0.013772132,-0.06811124,21.915,0.177
641316100106186,zi,59753.40952,15.28444,0.01249378,0.1965248,21.219,0.135
641216100035134,zr,59755.3643,14.7596,0.013031438,0.089520216,21.151,0.081
641116100063310,zg,59755.41418,15.082712,0.013805083,-0.07680345,21.915,0.177
641116100063310,zg,59757.32386,15.078234,0.013798997,-0.077839285,21.915,0.177
641116100063310,zg,59757.36388,15.066482,0.0137831,-0.07704054,21.915,0.177
641216100035134,zr,59759.34703,14.816439,0.01307113,0.07896819,21.151,0.081
641216100035134,zr,59763.34874,14.838832,0.01308748,0.0858467,21.151,0.081
641116100063310,zg,59763.41109,15.078545,0.013799418,-0.044256777,21.915,0.177
641116100063310,zg,59765.40391,15.121217,0.013858107,-0.06693634,21.915,0.177
641116100063310,zg,59768.42456,15.096005,0.013823249,-0.05717766,21.915,0.177
641116100063310,zg,59770.38252,15.10724,0.013838716,-0.05971124,21.915,0.177
641116100063310,zg,59770.43299,15.110434,0.013843133,-0.061395872,21.915,0.177
641216100035134,zr,59772.35327,14.917462,0.013148247,0.090469696,21.151,0.081
641216100035134,zr,59772.43852,14.899701,0.013134052,0.08887267,21.151,0.081
641216100035134,zr,59774.32568,14.936417,0.013163705,0.08254797,21.151,0.081
641216100035134,zr,59774.40504,14.918523,0.013149103,0.086385466,21.151,0.081
641216100035134,zr,59776.3641,14.975711,0.013196794,0.08844894,21.151,0.081
641216100035134,zr,59779.29235,14.979368,0.013199948,0.08428272,21.151,0.081
641216100035134,zr,59779.38354,14.997103,0.013215416,0.0868757,21.151,0.081
641116100063310,zg,59781.28292,15.179306,0.013940492,-0.08561462,21.915,0.177
641116100063310,zg,59783.33253,15.187731,0.013952687,-0.07797721,21.915,0.177
641216100035134,zr,59783.37457,15.027977,0.013243067,0.091078706,21.151,0.081
641216100035134,zr,59785.30956,15.023651,0.013239138,0.0930435,21.151,0.081
641116100063310,zg,59785.35836,15.182099,0.013944529,-0.057037685,21.915,0.177
641216100035134,zr,59787.32132,15.08052,0.013292303,0.092271164,21.151,0.081
641116100063310,zg,59787.3764,15.17169,0.013929523,-0.057620086,21.915,0.177
641216100035134,zr,59789.34395,15.097068,0.013308395,0.08657432,21.151,0.081
641116100063310,zg,59789.36497,15.171076,0.01392864,-0.040727492,21.915,0.177
641116100063310,zg,59793.28966,15.233104,0.01401948,-0.08342688,21.915,0.177
641216100035134,zr,59793.32006,15.115377,0.013326534,0.082602754,21.151,0.081
641116100063310,zg,59795.32093,15.248456,0.0140425125,-0.062107097,21.915,0.177
641116100063310,zg,59798.3206,15.246268,0.0140392175,-0.057670075,21.915,0.177
